AYS,20200717,0.62,0.63,0.615,0.63,156673
AYUHB,20200717,100.5,100.51,100.5,100.51,75
AYUHC,20200717,97.51,97.51,97.51,97.51,229
AYUHD,20200717,96.5,96.5,96.5,96.5,323
AZI,20200717,0.007,0.007,0.006,0.006,13721594
AZJ,20200717,4.66,4.79,4.64,4.78,5023316
AZS,20200717,0.16,0.2,0.15,0.155,3893870
AZV,20200717,0.069,0.069,0.068,0.068,205000
AZY,20200717,0.035,0.035,0.034,0.035,10296282
B2Y,20200717,0.029,0.029,0.029,0.029,0
BAF,20200717,0.775,0.795,0.77,0.785,338955
BAP,20200717,5.7,5.77,5.54,5.65,2516851
BAR,20200717,0.019,0.019,0.018,0.018,179446
BAS,20200717,0.001,0.001,0.001,0.001,150000
BASOB,20200717,0.001,0.001,0.001,0.001,0
BAT,20200717,0.01,0.01,0.009,0.009,5168495
BATO,20200717,0.003,0.003,0.003,0.003,300000
BBC,20200717,0.6,0.6,0.6,0.6,0
BBL,20200717,0.42,0.42,0.405,0.405,6135
BBN,20200717,3.17,3.23,3.12,3.15,280730
BBOZ,20200717,8.35,8.44,8.29,8.33,2585797
BBUS,20200717,2.41,2.42,2.4,2.42,1246202
BBX,20200717,0.18,0.18,0.18,0.18,0
BC8,20200717,0.87,0.87,0.83,0.85,286153
BCB,20200717,0.056,0.056,0.055,0.056,444009
BCC,20200717,0.195,0.195,0.195,0.195,10700
BCI,20200717,0.17,0.17,0.165,0.165,295647
BCK,20200717,0.017,0.017,0.017,0.017,0
BCN,20200717,0.038,0.038,0.037,0.037,2396230
BCNOB,20200717,0.017,0.017,0.016,0.016,438235
BCT,20200717,0.042,0.042,0.037,0.037,864712
BD1,20200717,0.03,0.031,0.029,0.03,2789893
BDA,20200717,0.27,0.27,0.257,0.26,89367
BDC,20200717,0.095,0.097,0.094,0.096,6093005
BDG,20200717,0.064,0.064,0.064,0.064,0
BDI,20200717,0.001,0.001,0.001,0.001,0
BEAR,20200717,11.86,11.91,11.84,11.85,42364
BEE,20200717,0.02,0.021,0.02,0.021,2776199
BEL,20200717,0.04,0.04,0.04,0.04,0
BEM,20200717,0.039,0.039,0.039,0.039,125758
BEN,20200717,7.1,7.17,7.04,7.15,2079093
BENHB,20200717,78,78,77.013,77.013,334
BENPE,20200717,99.78,99.78,99.7,99.7,1664
BENPF,20200717,100.25,100.25,100,100.01,1759
BENPG,20200717,99.15,99.25,99,99,3257
BET,20200717,0.45,0.495,0.445,0.49,8288265
BFC,20200717,0.081,0.082,0.081,0.081,241975
BFG,20200717,1.23,1.24,1.22,1.225,93393
BGA,20200717,4.61,4.68,4.54,4.6,270932
BGL,20200717,1.04,1.06,1,1.05,5297853
BGP,20200717,3.09,3.09,3.09,3.09,0
BGT,20200717,0.135,0.137,0.135,0.135,106475
BHD,20200717,0.205,0.21,0.2,0.2,129199
BHL,20200717,0.07,0.07,0.07,0.07,100000
BHP,20200717,37.92,38.14,37.67,37.92,7606521
BID,20200717,0.715,0.73,0.685,0.73,403012
BILL,20200717,100.26,100.28,100.26,100.28,12389
BIN,20200717,1.975,1.975,1.93,1.965,4511725
BIQ,20200717,0.006,0.006,0.006,0.006,1687363
BIR,20200717,0.016,0.016,0.016,0.016,0
BIS,20200717,0.96,1.055,0.96,0.96,139630
BIT,20200717,0.095,0.115,0.095,0.1,3938039
BKI,20200717,1.47,1.475,1.46,1.47,284444
BKL,20200717,75.8,76.08,73.68,74.95,32134
BKT,20200717,0.049,0.049,0.049,0.049,184935
BKW,20200717,16.75,16.87,16.33,16.52,239817
BKY,20200717,0.44,0.445,0.43,0.445,38446
BLA,20200717,0.185,0.185,0.185,0.185,0
BLD,20200717,3.78,3.78,3.67,3.72,4747821
BLG,20200717,0.043,0.046,0.042,0.044,564564
BLU,20200717,0.037,0.037,0.035,0.036,2139904
BLV,20200717,0.04,0.04,0.04,0.04,0
BLX,20200717,1.19,1.22,1.16,1.18,127514
BLY,20200717,0.4,0.4,0.4,0.4,15300
BLYO,20200717,0.02,0.02,0.02,0.02,0
BLZ,20200717,0.032,0.036,0.031,0.033,3900726
BLZO,20200717,0.007,0.008,0.007,0.007,6422426
BMG,20200717,0.005,0.005,0.005,0.005,1000000
BMH,20200717,0.2,0.2,0.2,0.2,0
BMN,20200717,0.034,0.034,0.031,0.031,1764671
BNDS,20200717,27.09,27.14,27.09,27.14,4899
